sample_id,source_repo,source_file,source_dataset_kind,pathway,feedstock_name,feedstock_group,blending_case,blend_manure_ratio,blend_wet_waste_ratio,feedstock_carbon_pct,feedstock_hydrogen_pct,feedstock_nitrogen_pct,feedstock_oxygen_pct,feedstock_moisture_pct,feedstock_volatile_matter_pct,feedstock_fixed_carbon_pct,feedstock_ash_pct,feedstock_hhv_mj_per_kg,process_temperature_c,residence_time_min,heating_rate_c_per_min,product_char_yield_pct,product_char_carbon_pct,product_char_hydrogen_pct,product_char_nitrogen_pct,product_char_oxygen_pct,product_char_hhv_mj_per_kg,energy_recovery_pct,carbon_retention_pct,reference_label,source_extra_value_1,source_extra_value_2,source_extra_value_3
Wet-Waste-Biomass-Opt::htc::0001,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Food waste,food_waste,single_source_reference,,,44.06,6.25,4.2,32.18,90.1,80.3,5.1,13.01,,210,30,,45.4,46.92,6.15,3.01,19.21,21.13,50.07,48.35,"(Su et al., 2021)",,,
Wet-Waste-Biomass-Opt::htc::0002,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Food waste,food_waste,single_source_reference,,,44.06,6.25,4.2,32.18,90.1,80.3,5.1,13.01,,240,30,,37.5,47.01,6.07,1.92,16.67,21.24,41.57,40.01,"(Su et al., 2021)",,,
Wet-Waste-Biomass-Opt::htc::0003,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Food waste,food_waste,single_source_reference,,,44.06,6.25,4.2,32.18,90.1,80.3,5.1,13.01,,270,30,,36.4,47.12,5.6,2.25,13.82,20.97,39.84,38.93,"(Su et al., 2021)",,,
Wet-Waste-Biomass-Opt::htc::0004,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Food waste,food_waste,single_source_reference,,,44.06,6.25,4.2,32.18,90.1,80.3,5.1,13.01,,270,60,,34.8,49.16,5.92,2.06,11.21,22.32,40.54,38.83,"(Su et al., 2021)",,,
Wet-Waste-Biomass-Opt::htc::0005,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Food waste,food_waste,single_source_reference,,,44.06,6.25,4.2,32.18,90.1,80.3,5.1,13.01,,270,90,,34.3,51.82,6.32,2.0,7.67,24.07,43.09,40.34,"(Su et al., 2021)",,,
Wet-Waste-Biomass-Opt::htc::0006,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,25.83,4.14,4.23,22.7,93.0,46.67,10.23,43.1,,160,60,,94.15,24.05,3.21,2.81,14.43,10.14,90.19,87.66,"(Gao et al., 2019)",,,
Wet-Waste-Biomass-Opt::htc::0007,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,25.83,4.14,4.23,22.7,93.0,46.67,10.23,43.1,,180,60,,84.01,26.39,2.7,2.16,10.56,10.88,86.27,85.83,"(Gao et al., 2019)",,,
Wet-Waste-Biomass-Opt::htc::0008,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,25.83,4.14,4.23,22.7,93.0,46.67,10.23,43.1,,200,30,,71.24,26.59,2.64,1.86,10.99,10.76,72.37,73.34,"(Gao et al., 2019)",,,
Wet-Waste-Biomass-Opt::htc::0009,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,25.83,4.14,4.23,22.7,93.0,46.67,10.23,43.1,,200,60,,67.89,26.97,2.56,1.89,9.71,11.01,70.59,70.89,"(Gao et al., 2019)",,,
Wet-Waste-Biomass-Opt::htc::0010,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,25.83,4.14,4.23,22.7,93.0,46.67,10.23,43.1,,200,90,,66.31,27.25,2.57,1.91,8.72,11.33,70.91,69.96,"(Gao et al., 2019)",,,
